TransactionID,OrderNumber,LineItem,Quantity,ProductID
3660001,366000,1,1,1304
3660071,366007,1,1,1617
3660091,366009,1,1,1648
3660121,366012,1,1,1807
3660141,366014,1,1,123
3670001,367000,1,1,1176
3670041,367004,1,1,136
3670051,367005,1,1,1691
3670091,367009,1,1,934
3670101,367010,1,1,917
3670111,367011,1,1,39
3670161,367016,1,1,1487
3670221,367022,1,1,1596
3670251,367025,1,1,1608
3670281,367028,1,1,976
3670291,367029,1,1,1607
3680001,368000,1,1,1440
3690011,369001,1,1,1301
3690021,369002,1,1,1656
3690061,369006,1,1,654
3700071,370007,1,1,267
3700081,370008,1,1,2105
3710051,371005,1,1,58
3710061,371006,1,1,1279
3710071,371007,1,1,1639
3710081,371008,1,1,961
3710121,371012,1,1,147
3710181,371018,1,1,534
3720011,372001,1,1,1286
3720081,372008,1,1,183
3720111,372011,1,1,1572
3720121,372012,1,1,468
3740011,374001,1,1,1429
3740031,374003,1,1,1606
3740121,374012,1,1,1280
3740171,374017,1,1,1630
3750001,375000,1,1,1636
3760001,376000,1,1,69
3760011,376001,1,1,131
3770021,377002,1,1,1612
3770051,377005,1,1,1634
3770061,377006,1,1,1432
3770071,377007,1,1,1665
3780001,378000,1,1,170
3780021,378002,1,1,1578
3780031,378003,1,1,1609
3780041,378004,1,1,2504
3780071,378007,1,1,1582
3790011,379001,1,1,1253
3800041,380004,1,1,1114
3810021,381002,1,1,1283
3810061,381006,1,1,1029
3810071,381007,1,1,1246
3810111,381011,1,1,450
3810131,381013,1,1,1583
3830011,383001,1,1,994
3830021,383002,1,1,1145
3840061,384006,1,1,752
3850041,385004,1,1,2162
3850081,385008,1,1,1195
3850091,385009,1,1,6
3860031,386003,1,1,1646
3860051,386005,1,1,1600
3870061,387006,1,1,1576
3880011,388001,1,1,1616
3880041,388004,1,1,2104
3880121,388012,1,1,2113
3880131,388013,1,1,1657
3880141,388014,1,1,1586
3900001,390000,1,1,1581
3900031,390003,1,1,1635
3910001,391000,1,1,2108
3910011,391001,1,1,1841
3910021,391002,1,1,1636
3910031,391003,1,1,1370
3910061,391006,1,1,1467
3910071,391007,1,1,1705
3920051,392005,1,1,1586
3930071,393007,1,1,1763
3930081,393008,1,1,2038
3930091,393009,1,1,2024
3940001,394000,1,1,979
3940021,394002,1,1,1695
3950111,395011,1,1,1587
3970031,397003,1,1,955
3980001,398000,1,1,1799
3980031,398003,1,1,31
3980061,398006,1,1,1274
3990071,399007,1,1,1576
3990101,399010,1,1,1516
4000011,400001,1,1,2037
4000021,400002,1,1,54
4020001,402000,1,1,1466
4040041,404004,1,1,2502
4040051,404005,1,1,491
4050061,405006,1,1,1618
4060021,406002,1,1,1791
4060041,406004,1,1,725
4060081,406008,1,1,430
4070031,407003,1,1,1743
4070071,407007,1,1,151
4070101,407010,1,1,1580
4070111,407011,1,1,596
4090031,409003,1,1,1315
4090041,409004,1,1,1634
4090061,409006,1,1,2435
4090081,409008,1,1,47
4090181,409018,1,1,2023
4090191,409019,1,1,184
4090201,409020,1,1,1977
4090211,409021,1,1,1642
4100001,410000,1,1,1605
4110051,411005,1,1,80
4120011,412001,1,1,2165
4120031,412003,1,1,2275
4120051,412005,1,1,1271
4120071,412007,1,1,1755
4120131,412013,1,1,1612
4120151,412015,1,1,1600
4130051,413005,1,1,2011
4130081,413008,1,1,148
4130131,413013,1,1,1115
4130141,413014,1,1,65
4130151,413015,1,1,1779
4130171,413017,1,1,76
4130181,413018,1,1,1582
4130201,413020,1,1,1615
4140071,414007,1,1,1295
4140101,414010,1,1,133
4140141,414014,1,1,1081
4140161,414016,1,1,1816
4140231,414023,1,1,1654
4140241,414024,1,1,2008
4150041,415004,1,1,1411
4150071,415007,1,1,108
4150121,415012,1,1,1991
4150161,415016,1,1,1766
4150171,415017,1,1,1071
4160001,416000,1,1,960
4160151,416015,1,1,296
4170001,417000,1,1,140
4180021,418002,1,1,460
4180071,418007,1,1,2104
4190041,419004,1,1,429
4190061,419006,1,1,1007
4190071,419007,1,1,1580
4190121,419012,1,1,1823
4190151,419015,1,1,1622
4200011,420001,1,1,1827
4200051,420005,1,1,2400
4200071,420007,1,1,305
4200081,420008,1,1,1574
4200111,420011,1,1,938
4200121,420012,1,1,2091
4200131,420013,1,1,2004
4200151,420015,1,1,1436
4200161,420016,1,1,69
4200181,420018,1,1,2383
4200201,420020,1,1,106
4210061,421006,1,1,118
4210141,421014,1,1,1291
4210211,421021,1,1,1427
4220051,422005,1,1,127
4220061,422006,1,1,1749
4220101,422010,1,1,410
4230021,423002,1,1,2039
4230031,423003,1,1,85
4230111,423011,1,1,24
4230161,423016,1,1,1660
4250011,425001,1,1,189
4250051,425005,1,1,173
4260031,426003,1,1,1198
4260061,426006,1,1,1031
4270011,427001,1,1,423
4270021,427002,1,1,55
4270061,427006,1,1,1637
4280001,428000,1,1,1607
4290021,429002,1,1,2101
4290031,429003,1,1,91
4290041,429004,1,1,78
4300071,430007,1,1,1887
4320031,432003,1,1,1647
4330011,433001,1,1,1995
4330021,433002,1,1,1438
4330031,433003,1,1,1606
4330071,433007,1,1,295
4340011,434001,1,1,335
4340051,434005,1,1,398
4340091,434009,1,1,2387
4350041,435004,1,1,1292
4350071,435007,1,1,1599
4350111,435011,1,1,191
4360001,436000,1,1,150
4360011,436001,1,1,140
